業者名稱,面積(公頃)
昱鼎電業股份有限公司,5.55
茂泓能源股份有限公司,25.44
心忠電業股份有限公司,55.65
乾耀能源科技股份有限公司,23.02
源創綠能股份有限公司,30.1
台灣電力股份有限公司(七股鹽田),111.28
禾訊一號股份有限公司籌備處,8.9
昊軒電業股份有限公司,68.12
昊陽電業股份有限公司,3.73
禾迅一號股份有限公司,40.83
新埔太陽能有限公司,0.08
欣晶能源股份有限公司(後潭發電廠),1.36
奇美綠能股份有限公司(善化地面型太陽光電發電廠第一期),14.39
奇美綠能股份有限公司(善化地面型太陽光電發電廠第二期),14.39
宇太光電股份有限公司,12.15
雪山太陽能有限公司,1.97
志光能源股份有限公司,84.54
玉山太陽能有限公司,1.04
東小南山太陽能有限公司,0.83
頂晶科技股份有限公司(頂晶2號電廠),1.5
頂晶科技股份有限公司(頂晶4號電廠),0.91
中租電力科技股份有限公司,20.89
劍潭太陽能有限公司,1.18
天禽能源股份有限公司,28.8
天篷能源股份有限公司,48.81
天衝能源股份有限公司,67.55
天英能源股份有限公司,26.36
宜康能源股份有限公司,1.88
天王能源科技股份有限公司,3.89
朝南電力股份有限公司,23.74
雪芙股份有限公司,0.75
星曄綠能股份有限公司籌備處,62.13
台灣艾貴綠能股份有限公司,37.07
恩富資本太陽能有限公司,164.15
日運綠能股份有限公司,0.51
星崴電力股份有限公司,44.68
新和能源開發股份有限公司,162.66
新日泰電力股份有限公司,59.47
南旭電力股份有限公司,127.9
南河一號電力股份有限公司,13.63
宸峰電力股份有限公司,62.27
鴻羅能源股份有限公司,3.12
鴻璟能源股份有限公司,15.61
昱鼎能源科技開發股份有限公司,2.29
廷捷電力股份有限公司,57.75
加州儲能股份有限公司,9.8
天心智慧綠能股份有限公司,38.64
大福能源有限公司,24.57
學參能源股份有限公司,17.08
平誠能源開發股份有限公司,87.38
洪煜昌,23.92
匯旭光能有限公司,61.47
得禾能源股份有限公司,1.01
新信能源開發有限公司,29.66
新平能源開發股份有限公司,90.31
新一能源科技有限公司,28.49
新德能源科技有限公司,28.94
南河一號電力股份有限公司（第三期）,7.43
貝和電力股份有限公司,39.96
得禾二能源有限公司,5.58
新仁能源開發股份有限公司,119.18
睿禾控股股份有限公司,1.02
貝辰一號電力股份有限公司,16.42
天柱能源股份有限公司,27.47
昊天電力股份有限公司,11.48
新智能源開發股份有限公司,102.48
風泰電力股份有限公司,14.72
玖炬股份有限公司,17.31
鴻羅能源股份有限公司（第二期）,2.79
鴻縣五號能源股份有限公司（第二期）,3.29
天任能源股份有限公司,17.59
新學一號電力股份有限公司,17.69
南陽電業股份有限公司,4.78
台灣電力股份有限公司,11.85
碩明二號股份有限公司,11.95
新月能源開發股份有限公司,21.31
雅比斯光電股份有限公司,8.64
泰來能源股份有限公司,40.39
,33.66
