Area,面積(公頃)
新營區,13.94
鹽水區,72.12
北門區,547.68
學甲區,385.92
六甲區,0.4
官田區,98.26
七股區,738.21
將軍區,398.09
後壁區,28.25
柳營區,1.36
善化區,81.05
下營區,3.4
麻豆區,106.33
東山區,5.38
白河區,38.72
佳里區,2.02
