Area,面積(公頃)
新營區,21.64
鹽水區,96.06
北門區,772.09
學甲區,495.19
六甲區,0.4
官田區,193.69
七股區,1322.66
將軍區,500.11
後壁區,29.1
柳營區,2.69
善化區,133.33
下營區,4.9
麻豆區,107.24
東山區,6.55
白河區,54.15
佳里區,2.02
